λ,T,Optical Density
2600,0.81504547,0.08881816203395489
2599,0.81324798,0.08977700677459693
2598,0.81170172,0.09060353375974253
2597,0.8102916299999999,0.09135864716420322
2596,0.8088516699999999,0.09213111350122515
2595,0.80708929,0.09307841570028982
2594,0.80531695,0.09403315994892532
2593,0.80372537,0.09489232272960181
2592,0.80256756,0.09551839854900276
2591,0.8010195400000001,0.09635688964526194
2590,0.8000358599999999,0.09689054619420184
2589,0.79880172,0.09756100866650194
2588,0.7975340900000001,0.09825074428022684
2587,0.7969055899999999,0.09859312674779493
2586,0.7964345199999999,0.09884992453536953
2585,0.79517549,0.09953701483031104
2584,0.79454825,0.09987972454535225
2583,0.7940342300000001,0.10016077518035446
2582,0.79367717,0.10035611192772884
2581,0.7941384499999999,0.10010377612535387
2580,0.79416029,0.1000918325391172
2579,0.79408322,0.10013398108313558
2578,0.79424791,0.10004391931058698
2577,0.79476922,0.09975896069030626
2576,0.79509964,0.09957844317922489
2575,0.7957313,0.0992335586789829
2574,0.79656846,0.0987768934063967
2573,0.79705653,0.09851087584801264
2572,0.79766644,0.09817867951629182
2571,0.7987152500000001,0.0976080234332832
2570,0.79978092,0.09702896083960091
2569,0.80112852,0.09629780719977213
2568,0.80265464,0.09547127938566047
2567,0.80410678,0.09468627602074622
2566,0.80523016,0.09407996692263858
2565,0.80657413,0.09335571163465281
2564,0.8080452800000001,0.09256430221655755
2563,0.80949616,0.0917852070647347
2562,0.8106987,0.09114052339727775
2561,0.81198966,0.09044950109569022
2560,0.81278526,0.0900241809936071
2559,0.8138346300000001,0.08946383414613537
2558,0.8151450199999999,0.08876512036061383
2557,0.81589573,0.08836533974994297
2556,0.81710172,0.08772387530987366
2555,0.8180291,0.08723124676311035
2554,0.81860403,0.08692612164719449
2553,0.81937518,0.08651719556019821
2552,0.8202590999999999,0.08604894282809221
2551,0.82080336,0.08576087442222914
2550,0.82109116,0.08560862352955682
2549,0.82129925,0.08549857376468659
2548,0.8212660700000001,0.08551611935722533
2547,0.8206070699999999,0.0858647456572367
2546,0.82042254,0.08596241648608094
2545,0.8204583599999999,0.08594345541664049
2544,0.8198407400000001,0.0862705042708269
2543,0.81901567,0.08670778892404046
2542,0.81758291,0.08746819520626496
2541,0.81628779,0.08815669961142504
2540,0.8152830299999999,0.08869159735959502
2539,0.81471222,0.08899576958751873
2538,0.81338207,0.08970540530970293
2537,0.8121876100000001,0.09034363999948308
2536,0.81085833,0.09105501739645563
2535,0.80914507,0.09197360761850364
2534,0.80765253,0.09277544214640267
2533,0.8062720299999999,0.0935184058429056
2532,0.8044385300000001,0.09450713627812467
2531,0.8024869099999999,0.09556204298680802
2530,0.8010645200000001,0.09633250320226702
2529,0.79963463,0.09710840603435945
2528,0.79822331,0.09787559394543315
2527,0.79715531,0.09845705664042567
2526,0.7958794299999999,0.09915271976457066
2525,0.79464368,0.09982756631112583
2524,0.7932093,0.10061220254161606
2523,0.79190262,0.1013282201741844
2522,0.79110488,0.10176593649494904
2521,0.79057958,0.10205440730629096
2520,0.78982795,0.10246750175167671
2519,0.78945783,0.10267106348650706
2518,0.7888255200000001,0.10301904759030478
2517,0.78866905,0.10310520200135456
2516,0.7888209700000001,0.10302155263805178
2515,0.78927018,0.10277430528547017
2514,0.78975556,0.10250730791243734
2513,0.79034236,0.10218474054433846
2512,0.79097922,0.10183492580431729
2511,0.79186639,0.10134808985086419
2510,0.79292057,0.10077031550514652
2509,0.7945486599999999,0.09987950044229543
2508,0.79605098,0.09905911866468475
2507,0.79754609,0.09824420977011476
2506,0.79957038,0.09714330264899336
2505,0.80179178,0.09593840046631606
2504,0.80404353,0.09472043840696567
2503,0.80652133,0.0933841423744587
2502,0.80932709,0.09187592254997665
2501,0.81179205,0.0905552061082101
2500,0.8143184499999999,0.08920572529261267
2499,0.81674532,0.08791334537900002
2498,0.8196080299999999,0.08639379530792654
2497,0.8224030299999999,0.08491529826385784
2496,0.82509261,0.08349730265650109
2495,0.8277564099999999,0.08209744746281615
2494,0.83036184,0.08073261741737735
2493,0.83261314,0.07955673951642617
2492,0.83490517,0.07836284964755272
2491,0.8371535299999999,0.07719488714737535
2490,0.8393232999999999,0.07607072050541934
2489,0.8412359899999999,0.07508215547686037
2488,0.84284932,0.07425005923248452
2487,0.84410952,0.07360120166118743
2486,0.84505679,0.07311410435814145
2485,0.8460021000000001,0.07262855892636642
2484,0.84662976,0.07230646964818677
2483,0.8466695799999999,0.07228604371892072
2482,0.8466522500000001,0.07229493313762214
2481,0.84607516,0.07259105525485256
2480,0.84510974,0.07308689296516194
2479,0.84399379,0.0736607488466845
2478,0.84261368,0.07437149429499547
2477,0.8406836900000001,0.07536737819448323
2476,0.83876515,0.076359622409265
2475,0.83631163,0.0776318637440811
2474,0.83327897,0.07920957860660775
2473,0.8300173200000001,0.08091284509146184
2472,0.8265521699999999,0.08272972959637713
2471,0.82271487,0.08475065305167118
2470,0.8185676700000001,0.08694541216799274
2469,0.81445762,0.0891315091197368
2468,0.8102626399999999,0.09137418530107995
2467,0.80595899,0.09368705604828796
2466,0.8012467200000001,0.09623373530628218
2465,0.79644942,0.09884179966497808
2464,0.79174647,0.10141386425278387
2463,0.7873609,0.10382615588547409
2462,0.7827105,0.10639884011460868
2461,0.77819265,0.10891287540777922
2460,0.7739387600000001,0.11129340268440961
2459,0.76995852,0.1135326709578421
2458,0.76594111,0.11580462016532621
2457,0.7622065299999999,0.11792733484643009
2456,0.7586782700000001,0.11994235478427924
2455,0.7551694999999999,0.1219555587645236
2454,0.75199031,0.12378775560602166
2453,0.74909059,0.12546565845794858
2452,0.74653678,0.12694879080894317
2451,0.74422404,0.12829630546374696
2450,0.74239987,0.12936211283753435
2449,0.74099596,0.13018415984049625
2448,0.7397583799999999,0.1309101064415508
2447,0.7387880099999999,0.13148016146283614
2446,0.7382340399999999,0.13180593334338586
2445,0.7382796,0.13177913175338926
2444,0.7385685200000001,0.1316092072207132
2443,0.7393871,0.13112813078169547
2442,0.74048633,0.13048295450991182
2441,0.74206248,0.12955952655809433
2440,0.7439902899999999,0.12843273250108062
2439,0.74627601,0.12710051910864223
2438,0.7491830199999999,0.12541207433453444
2437,0.7526486699999999,0.12340770147057363
2436,0.75650012,0.12119099875073011
2435,0.7605661499999999,0.1188630073432483
2434,0.7650078100000001,0.1163341310913629
2433,0.76994023,0.11354298754011657
2432,0.77512591,0.11062774578174951
2431,0.78063568,0.10755160258976276
2430,0.78665179,0.10421746477752267
2429,0.7929161100000001,0.10077275832087113
2428,0.79911388,0.09739132590328776
2427,0.80555953,0.09390236015449734
2426,0.8123260600000001,0.09026961406510595
2425,0.81948571,0.086458615152977
2424,0.82668612,0.08265935408386917
2423,0.83368485,0.07899809057587373
2422,0.8407455,0.07533544852168089
2421,0.8477762400000001,0.07171875924867516
2420,0.85470024,0.06818617409086535
2419,0.86127113,0.0648601101875583
2418,0.867673,0.06164391658928148
2417,0.87405579,0.058460845951564054
2416,0.87996176,0.05553620032918635
2415,0.8853004900000001,0.052909295405095924
2414,0.890104,0.05055924730185737
2413,0.89427762,0.04852763767231059
2412,0.89811149,0.04666974742366752
2411,0.90142967,0.045068151495553474
2410,0.90417322,0.04374836014010061
2409,0.90649523,0.04263447683061158
2408,0.90826807,0.041785953087353486
2407,0.90922449,0.041328875049330624
2406,0.90950867,0.04119315661675787
2405,0.90898595,0.041442829522397646
2404,0.90792929,0.04194797323948674
2403,0.90626471,0.042744931129935944
2402,0.90401994,0.043821990170141864
2401,0.9012395200000001,0.0451597724058106
2400,0.89799428,0.04672642967161346
2399,0.89414596,0.04859158137360161
2398,0.88983919,0.0506884711144458
2397,0.8852415,0.052938234601840974
2396,0.88029423,0.05537214477256776
2395,0.87504413,0.05797004419802317
2394,0.86964702,0.06065698689038937
2393,0.86404762,0.06346232171865067
2392,0.85832758,0.06634693239017303
2391,0.85266756,0.06922025956975532
2390,0.84704854,0.07209170177067675
2389,0.84137923,0.07500821303179185
2388,0.83595186,0.07781873157812673
2387,0.83078285,0.08051247726361264
2386,0.82586359,0.08309168028566193
2385,0.82102737,0.08564236487588284
2384,0.81662626,0.08797665871411627
2383,0.8126461,0.09009854454009272
2382,0.80891927,0.09209481873752545
2381,0.8057221,0.09381472401088589
2380,0.80293559,0.09531929161984545
2379,0.8006363799999999,0.09656467993877335
2378,0.79902075,0.09744194222107005
2377,0.79772085,0.09814905666180669
2376,0.79692667,0.09858163880403972
2375,0.79665449,0.0987299918044402
2374,0.79679213,0.09865496413562773
2373,0.79738773,0.09833045143546512
2372,0.7986621700000001,0.09763688618145942
2371,0.8002884899999999,0.0967534292205401
2370,0.8021024800000001,0.09577014087392217
2369,0.80454389,0.09445025900450138
2368,0.80756052,0.09282492098799963
2367,0.8109100599999999,0.09102731177129367
2366,0.81476069,0.08896993270073791
2365,0.8193133,0.0865499951348348
2364,0.82431509,0.08390674984239821
2363,0.82922321,0.0813285504833213
2362,0.83446326,0.07859277981219678
2361,0.8401965199999999,0.07561912159346479
2360,0.8463231600000001,0.07246377430566922
2359,0.85286496,0.06911972823411064
2358,0.85936794,0.06582085235191158
2357,0.86584732,0.06255868295655902
2356,0.8723730500000001,0.05929775943569565
2355,0.8792275700000001,0.05589870216880467
2354,0.8856752,0.05272551593408315
2353,0.8922174900000001,0.04952926760411042
2352,0.89856101,0.04645243006663258
2351,0.9047175199999999,0.04348699941951419
2350,0.91020493,0.04086081652683817
2349,0.91530262,0.038435294493700166
2348,0.9199436900000001,0.03623875512261099
2347,0.92431092,0.034181916088434385
2346,0.92778216,0.032553982634295923
2345,0.93045984,0.03130236691019754
2344,0.9325479900000001,0.030328809646989533
2343,0.93433382,0.02949793074825308
2342,0.9352242,0.029084263832441008
2341,0.93520045,0.029095292872232323
2340,0.93433701,0.029496447983739342
2339,0.9331951599999999,0.03002752233300358
2338,0.93139379,0.030866662020340867
2337,0.9288590600000001,0.03205017847981296
2336,0.92553343,0.033607890036603284
