λ,T,Optical Density
1794,1.93151e-06,5.7141
1793,2.05946e-06,5.68625
1792,2.40819e-06,5.61831
1791,3.3238899999999998e-06,5.47835
1790,2.39719e-06,5.6203
1789,2.35385e-06,5.62822
1788,1.97773e-06,5.70383
1787,2.3759700000000002e-06,5.62416
1786,2.6807000000000004e-06,5.57175
1785,2.81204e-06,5.55098
1784,2.98504e-06,5.52505
1783,2.83686e-06,5.54716
1782,3.28947e-06,5.48287
1781,2.36105e-06,5.62689
1780,2.1389400000000002e-06,5.6698
1779,2.43202e-06,5.61403
1778,1.9400799999999997e-06,5.71218
1777,2.54535e-06,5.59425
1776,3.3505699999999998e-06,5.47488
1775,3.05263e-06,5.51533
1774,3.0497599999999997e-06,5.51573
1773,2.5537200000000003e-06,5.59283
1772,2.44501e-06,5.61172
1771,2.35615e-06,5.6278
1770,3.4230200000000002e-06,5.46559
1769,3.32556e-06,5.47814
1768,2.49821e-06,5.60237
1767,2.7948300000000003e-06,5.55364
1766,2.57534e-06,5.58916
1765,1.80816e-06,5.74276
1764,2.64552e-06,5.57749
1763,3.35279e-06,5.47459
1762,2.5474900000000003e-06,5.59389
1761,3.67261e-06,5.43503
1760,2.0686700000000002e-06,5.68431
1759,1.8822199999999999e-06,5.72533
1758,1.8540399999999998e-06,5.73188
1757,2.9990000000000004e-06,5.52302
1756,2.09899e-06,5.67799
1755,2.8773699999999998e-06,5.541
1754,2.18589e-06,5.66037
1753,2.11603e-06,5.67448
1752,2.64326e-06,5.57786
1751,2.72182e-06,5.56514
1750,1.92628e-06,5.71528
1749,2.12259e-06,5.67313
1748,2.6144699999999997e-06,5.58262
1747,3.06352e-06,5.51378
1746,2.97524e-06,5.52648
1745,2.9147899999999998e-06,5.53539
1744,3.0132500000000003e-06,5.52096
1743,2.12248e-06,5.67316
1742,2.98735e-06,5.52471
1741,2.9886700000000003e-06,5.52452
1740,2.54316e-06,5.59463
1739,2.4467299999999998e-06,5.61141
1738,3.35982e-06,5.47368
1737,3.01729e-06,5.52038
1736,2.6624500000000002e-06,5.57472
1735,3.1793e-06,5.49767
1734,3.40591e-06,5.46777
1733,2.4112600000000003e-06,5.61776
1732,1.30619e-06,5.88399
1731,3.32315e-06,5.47845
1730,4.04413e-06,5.39317
1729,3.7090499999999997e-06,5.43074
1728,2.79754e-06,5.55322
1727,3.0039800000000002e-06,5.5223
1726,2.91029e-06,5.53606
1725,2.60399e-06,5.58436
1724,3.16986e-06,5.49896
1723,3.26051e-06,5.48671
1722,2.50768e-06,5.60073
1721,2.3732199999999997e-06,5.62466
1720,2.5618599999999997e-06,5.59144
1719,1.07015e-06,5.97055
1718,3.69356e-06,5.43256
1717,1.99458e-06,5.70015
1716,3.62705e-06,5.44045
1715,1.17353e-06,5.93051
1714,2.41932e-06,5.61631
1713,2.2370699999999997e-06,5.65032
1712,2.32197e-06,5.63414
1711,2.51087e-06,5.60018
1710,1.78531e-06,5.74829
1709,1.49782e-06,5.82454
1708,1.58552e-06,5.79983
1707,2.5699400000000004e-06,5.59008
1706,2.5461199999999998e-06,5.59412
1705,2.59794e-06,5.58537
1704,2.93231e-06,5.53279
1703,2.87393e-06,5.54152
1702,2.5371999999999996e-06,5.59565
1701,2.86756e-06,5.54249
1700,1.94409e-06,5.71128
1699,1.90705e-06,5.71964
1698,2.92341e-06,5.53411
1697,2.5879800000000003e-06,5.58704
1696,2.7188e-06,5.56562
