λ,T
457.0,0.9487663000000001
458.0,0.9522874
459.0,0.9547275999999999
460.0,0.958719
461.0,0.962372
462.0,0.9625377
463.0,0.962243
464.0,0.9640997
465.0,0.9650338
466.0,0.9642614
467.0,0.9642099000000001
468.0,0.9659462000000001
469.0,0.9660857
470.0,0.9638468
471.0,0.9624097
472.0,0.9631149000000001
473.0,0.963988
474.0,0.9636622
475.0,0.9625202
476.0,0.9623579
477.0,0.9622853
478.0,0.9616834
479.0,0.9602433
480.0,0.9589373000000001
481.0,0.9579214
482.0,0.9568071
483.0,0.9554201
484.0,0.9549331
485.0,0.9552117
486.0,0.9554447
487.0,0.9552682
488.0,0.9544343000000001
489.0,0.9529759
490.0,0.9515318
491.0,0.9496330000000001
492.0,0.9478067
493.0,0.9471556
494.0,0.947911
495.0,0.9497104000000001
496.0,0.9511451
497.0,0.9509466999999999
498.0,0.9495796
499.0,0.9482875
500.0,0.9478624000000001
501.0,0.9482497
502.0,0.9485085999999999
503.0,0.9479212
504.0,0.9469179
505.0,0.9464506
506.0,0.9467689
507.0,0.9471388000000001
508.0,0.9469007
509.0,0.9457574
510.0,0.9446882999999999
511.0,0.9446454
512.0,0.9454841
513.0,0.9466169
514.0,0.9472271999999999
515.0,0.9468868
516.0,0.9463442999999999
517.0,0.946622
518.0,0.9480302
519.0,0.9499293
520.0,0.9510145
521.0,0.950788
522.0,0.9497960999999999
523.0,0.9487908
524.0,0.9485223
525.0,0.9492533000000001
526.0,0.9504906
527.0,0.9515655
528.0,0.9521135
529.0,0.9524161999999999
530.0,0.9526463
531.0,0.9532747
532.0,0.9542574
533.0,0.9552703
534.0,0.9553402
535.0,0.9546802
536.0,0.954143
537.0,0.9542915000000001
538.0,0.9549984
539.0,0.9562966
540.0,0.9576419
541.0,0.9585218999999999
542.0,0.9587744
543.0,0.9583379999999999
544.0,0.9579340999999999
545.0,0.9580228
546.0,0.9588930000000001
547.0,0.9600472000000001
548.0,0.9604414
549.0,0.9601130000000001
550.0,0.9592822
551.0,0.9585532000000001
552.0,0.9589012
553.0,0.9599664
554.0,0.9606751
555.0,0.9610255999999999
556.0,0.960707
557.0,0.9597695
558.0,0.9587642
559.0,0.9584372999999999
560.0,0.9584693
561.0,0.9591768
562.0,0.9597648
563.0,0.9606211
564.0,0.9606185
565.0,0.9596032999999999
566.0,0.9589643
567.0,0.9585852
568.0,0.9582219000000001
569.0,0.9587294
570.0,0.9593479
571.0,0.9588294999999999
572.0,0.9582565
573.0,0.9575149999999999
574.0,0.956049
575.0,0.9553271
576.0,0.9553294999999999
577.0,0.9555621999999999
578.0,0.9565507
579.0,0.9573885
580.0,0.9569474
581.0,0.9561273
582.0,0.9549894000000001
583.0,0.953348
584.0,0.9524836999999999
585.0,0.9523644
586.0,0.9524429999999999
587.0,0.9531189999999999
588.0,0.9536503999999999
589.0,0.9530993
590.0,0.9522442999999999
591.0,0.9511320999999999
592.0,0.9495292999999999
593.0,0.9489976
594.0,0.9492527
595.0,0.9493304
596.0,0.9500885
597.0,0.9506650999999999
598.0,0.9500175
599.0,0.9495877
600.0,0.9487608000000001
601.0,0.946872
602.0,0.9464756
603.0,0.9465152
604.0,0.9465127
605.0,0.9473965
606.0,0.9480709
607.0,0.9474791
608.0,0.9472009
609.0,0.9462657
610.0,0.9446983
611.0,0.9440058
612.0,0.9434024999999999
613.0,0.9435823999999999
614.0,0.9447807
615.0,0.9459188000000001
616.0,0.946302
617.0,0.9466242
618.0,0.9463938000000001
619.0,0.9453889
620.0,0.9442691000000001
621.0,0.9434439
622.0,0.9428871
623.0,0.9431843000000001
624.0,0.9434501000000001
625.0,0.9440537
626.0,0.9454338
627.0,0.9459884
628.0,0.9458487
629.0,0.945356
630.0,0.9444449
631.0,0.9432795
632.0,0.942927
633.0,0.9431843000000001
634.0,0.9434626
635.0,0.9445453
636.0,0.9455089999999999
637.0,0.9458253000000001
638.0,0.946581
639.0,0.9466166
640.0,0.9460123
641.0,0.9457021
642.0,0.9451246999999999
643.0,0.9445023
644.0,0.9449715000000001
645.0,0.9458717
646.0,0.9464845
647.0,0.9477555
648.0,0.9480757
649.0,0.9476061
650.0,0.9477561
651.0,0.9470834
652.0,0.9462315
653.0,0.9459707
654.0,0.9457111
655.0,0.9455089
656.0,0.9466273
657.0,0.9480092999999999
658.0,0.9492096999999999
659.0,0.9507577
660.0,0.9516294999999999
661.0,0.9512417999999999
662.0,0.9515836
663.0,0.9515129
664.0,0.9505880999999999
665.0,0.9503636
666.0,0.9498954000000001
667.0,0.9494880000000001
668.0,0.9508419
669.0,0.9517648
670.0,0.9525852
671.0,0.9540261
672.0,0.954037
673.0,0.9546041
674.0,0.9540002
675.0,0.9536732000000001
676.0,0.9532054
677.0,0.9525374999999999
678.0,0.9521771
679.0,0.9518855
680.0,0.9531865
681.0,0.9537869000000001
682.0,0.9548369
683.0,0.9557781
684.0,0.9561657
685.0,0.9559591000000001
686.0,0.9568707000000001
687.0,0.9565613000000001
688.0,0.9557218000000001
689.0,0.9552250999999999
690.0,0.9543223000000001
691.0,0.9543458
692.0,0.9555676
693.0,0.9556768
694.0,0.9559844
695.0,0.9571989999999999
696.0,0.958267
697.0,0.958508
698.0,0.959392
699.0,0.9592016999999999
700.0,0.9587563
701.0,0.9584480000000001
702.0,0.9578025
703.0,0.9570627
704.0,0.9572248999999999
705.0,0.9572343999999999
706.0,0.9573007
707.0,0.9581851
708.0,0.9588379
709.0,0.9593998
710.0,0.9606414999999999
711.0,0.9603521
712.0,0.9601667
713.0,0.9600762
714.0,0.9595836
715.0,0.9583795
716.0,0.9582682
717.0,0.957468
718.0,0.9571228
719.0,0.9572993
720.0,0.9577473000000001
721.0,0.9577848
722.0,0.9590464
723.0,0.9593779000000001
724.0,0.9594187
725.0,0.9595948
726.0,0.9595326
727.0,0.9593181
728.0,0.9592198999999999
729.0,0.9582160000000001
730.0,0.9576901
731.0,0.9572147
732.0,0.957059
733.0,0.956773
734.0,0.9573959999999999
735.0,0.9575678999999999
736.0,0.9577902
737.0,0.9587311
738.0,0.9591071999999999
739.0,0.958843
740.0,0.9594855
741.0,0.9586026
742.0,0.9578907999999999
743.0,0.9574024
744.0,0.9565087
745.0,0.9553179
746.0,0.9553552000000001
747.0,0.9547139
748.0,0.9545195
749.0,0.9547374999999999
750.0,0.9550937
751.0,0.9558652999999999
752.0,0.9571705
753.0,0.9572422
754.0,0.9572137
755.0,0.9575712
756.0,0.9572191999999999
757.0,0.9567633
758.0,0.9563818000000001
759.0,0.9551175999999999
760.0,0.9539284000000001
761.0,0.9535004
762.0,0.9528477
763.0,0.9522928
764.0,0.9529681
765.0,0.9526629
766.0,0.9529175
767.0,0.9539310999999999
768.0,0.9540136
769.0,0.9548426999999999
770.0,0.9555070000000001
771.0,0.9547024000000001
772.0,0.9546464
773.0,0.9546565
774.0,0.9539392
775.0,0.9535108999999999
776.0,0.9530584000000001
777.0,0.9518886999999999
778.0,0.9510025
779.0,0.9507786
780.0,0.9502106
781.0,0.9505874
782.0,0.9511706
783.0,0.9507942
784.0,0.9508724
785.0,0.9516876000000001
786.0,0.9519053
787.0,0.9524233
788.0,0.9524809000000001
789.0,0.9516509000000001
790.0,0.9512843
791.0,0.9513903
792.0,0.9502009
793.0,0.9498344
794.0,0.9494298000000001
795.0,0.9485097
796.0,0.9479469
797.0,0.9479021
798.0,0.9480267000000001
799.0,0.9483963
800.0,0.9487897
801.0,0.9487763
802.0,0.9492733
803.0,0.9499853
804.0,0.9502961999999999
805.0,0.9501301
806.0,0.950125
807.0,0.9499048000000001
808.0,0.9496164
809.0,0.9491293000000001
810.0,0.9481681000000001
811.0,0.9476521
812.0,0.9474852
813.0,0.9470359
814.0,0.9467098
815.0,0.9469211
816.0,0.9466692000000001
817.0,0.9470524
818.0,0.9473383
819.0,0.9477172
820.0,0.9482699
821.0,0.9489620999999999
822.0,0.9487502000000001
823.0,0.9490645999999999
824.0,0.9491383999999999
825.0,0.9490168
826.0,0.9488728000000001
827.0,0.9487175000000001
828.0,0.9476901
829.0,0.9467874000000001
830.0,0.9467143
831.0,0.9462863
832.0,0.9458874
833.0,0.9459915999999999
834.0,0.9457234
835.0,0.9456591
836.0,0.9459241
837.0,0.9467078999999999
838.0,0.9469817
839.0,0.9476514
840.0,0.947697
841.0,0.9480316999999999
842.0,0.9485237999999999
843.0,0.9486361999999999
844.0,0.9488466
845.0,0.948208
846.0,0.9476083
847.0,0.9470895
848.0,0.9469008
849.0,0.9468303
850.0,0.9467762000000001
851.0,0.9469906
852.0,0.9466855
853.0,0.9465024
854.0,0.9469938999999999
855.0,0.9464323
856.0,0.9471861
857.0,0.9481860000000001
858.0,0.9489223
859.0,0.9497008
860.0,0.951576
861.0,0.9553991000000001
862.0,0.9554689000000001
863.0,0.9557818
864.0,0.9558222000000001
865.0,0.9558549
866.0,0.9554707
867.0,0.9551285
868.0,0.9549065
869.0,0.9543300000000001
870.0,0.9537735
871.0,0.9537922000000001
872.0,0.953709
873.0,0.9536150000000001
874.0,0.9537954000000001
875.0,0.9539623
876.0,0.953924
877.0,0.9541339000000001
878.0,0.9545564
879.0,0.9550570999999999
880.0,0.9559245
881.0,0.9567601
882.0,0.9571201
883.0,0.9571678
884.0,0.9575334
885.0,0.9579766
886.0,0.9576940999999999
887.0,0.9572124
888.0,0.957244
889.0,0.9571906
890.0,0.9567179
891.0,0.9565607
892.0,0.9566823999999999
893.0,0.9565026
894.0,0.9563577
895.0,0.9564086
896.0,0.9566823
897.0,0.9569059
898.0,0.9570578999999999
899.0,0.9576340999999999
900.0,0.9581476000000001
901.0,0.9583538
902.0,0.9589365
903.0,0.9597677
904.0,0.9602196000000001
905.0,0.9605562000000001
906.0,0.9609305
907.0,0.9611391
908.0,0.9611151
909.0,0.9611262
910.0,0.9610642
911.0,0.9608821000000001
912.0,0.9607347
913.0,0.9602973
914.0,0.960081
915.0,0.9602255
916.0,0.9597941
917.0,0.9597526000000001
918.0,0.9599308999999999
919.0,0.9598260000000001
920.0,0.9599698999999999
921.0,0.9607878
922.0,0.961457
923.0,0.9616898
924.0,0.9619308
925.0,0.9625159
926.0,0.9632079
927.0,0.9639677
928.0,0.9645658
929.0,0.9648534999999999
930.0,0.9649873999999999
931.0,0.9650105999999999
932.0,0.9649899999999999
933.0,0.9647435
934.0,0.9645294
935.0,0.9646644999999999
936.0,0.9646101
937.0,0.9643465999999999
938.0,0.9638061
939.0,0.9633410000000001
940.0,0.9633448
941.0,0.9631769
942.0,0.9633099
943.0,0.9636454999999999
944.0,0.9638178000000001
945.0,0.9639181000000001
946.0,0.9642041
947.0,0.9647678999999999
948.0,0.9652836
949.0,0.9657194
950.0,0.9662843
951.0,0.9668026999999999
952.0,0.9672307000000001
953.0,0.9676564999999999
954.0,0.9676598
955.0,0.9681682
956.0,0.9684404000000001
957.0,0.9683134
958.0,0.9682158
959.0,0.9680616000000001
960.0,0.9680199
961.0,0.9679402
962.0,0.9675387000000001
963.0,0.9672725
964.0,0.9670988
965.0,0.96677
966.0,0.9667409
967.0,0.9667213
968.0,0.9670768
969.0,0.9669213999999999
970.0,0.9669414000000001
971.0,0.9674729000000001
972.0,0.9677932
973.0,0.9681067
974.0,0.9687408999999999
975.0,0.9690645999999999
976.0,0.9693836
977.0,0.9696243
978.0,0.9702437
979.0,0.9705528999999999
980.0,0.9706091000000001
981.0,0.9705856
982.0,0.971036
983.0,0.9710969
984.0,0.9707905
985.0,0.9707039000000001
986.0,0.9707095
987.0,0.9703322
988.0,0.9700318
989.0,0.9699622999999999
990.0,0.9700032000000001
991.0,0.9695234
992.0,0.9691589999999999
993.0,0.9685718
994.0,0.9687873
995.0,0.9686946000000001
996.0,0.9687028
997.0,0.9688294000000001
998.0,0.9690089999999999
999.0,0.9694249
1000.0,0.9697786
1001.0,0.969943
1002.0,0.9703181
1003.0,0.9705514
1004.0,0.9709398
1005.0,0.9715886
1006.0,0.9720244
1007.0,0.9723244
1008.0,0.9725338000000001
1009.0,0.9730192
1010.0,0.9729439999999999
1011.0,0.9725691999999999
1012.0,0.9725760999999999
1013.0,0.9726519
1014.0,0.972252
1015.0,0.9726295
1016.0,0.9720856999999999
1017.0,0.9718640000000001
1018.0,0.9713639999999999
1019.0,0.9708764999999999
1020.0,0.9710467
1021.0,0.9709254
1022.0,0.9705328
1023.0,0.9703674999999999
1024.0,0.9706541
1025.0,0.9706585
1026.0,0.9708297
1027.0,0.9709537
1028.0,0.9712372
1029.0,0.9711587
1030.0,0.9714367
1031.0,0.9719612999999999
1032.0,0.9723982
1033.0,0.9725669
1034.0,0.9728262
1035.0,0.973032
1036.0,0.9733103
1037.0,0.9734373
1038.0,0.9733225
1039.0,0.9732033
1040.0,0.973417
1041.0,0.9731498999999999
1042.0,0.9730823
1043.0,0.9729732
1044.0,0.9723371000000001
1045.0,0.9720310999999999
1046.0,0.971812
1047.0,0.9719027
1048.0,0.9713015
1049.0,0.9709705
1050.0,0.9707726
1051.0,0.9706229999999999
1052.0,0.9703739
1053.0,0.969847
1054.0,0.9701099999999999
1055.0,0.9702812000000001
1056.0,0.9707121
1057.0,0.9706575
1058.0,0.9707412
1059.0,0.9706842
1060.0,0.9707863999999999
1061.0,0.9706628
1062.0,0.9713547
1063.0,0.9716733999999999
1064.0,0.9717863
1065.0,0.9723518
1066.0,0.9721486
1067.0,0.9721553
1068.0,0.972864
1069.0,0.9729188999999999
1070.0,0.9726912
1071.0,0.9725412
1072.0,0.9723253
1073.0,0.9720067
1074.0,0.9719016
1075.0,0.9717036
1076.0,0.9709774
1077.0,0.9709023999999999
1078.0,0.9705216
1079.0,0.9704192
1080.0,0.9696412
1081.0,0.9695001999999999
1082.0,0.9694527
1083.0,0.9692181999999999
1084.0,0.9689983
1085.0,0.9687395999999999
1086.0,0.9689253999999999
1087.0,0.9684805
1088.0,0.9683695
1089.0,0.9685600999999999
1090.0,0.9693017
1091.0,0.9693746
1092.0,0.9695984
1093.0,0.9698102
1094.0,0.9700082000000001
1095.0,0.9703385
1096.0,0.9703332
1097.0,0.9701371000000001
1098.0,0.9704887999999999
1099.0,0.9705922
1100.0,0.9708297
1101.0,0.9709148999999999
1102.0,0.971029
1103.0,0.9711348
1104.0,0.9710548
1105.0,0.9709845
1106.0,0.9703858
1107.0,0.9701558
1108.0,0.9696366000000001
1109.0,0.9696098999999999
1110.0,0.9690539
1111.0,0.9688086
1112.0,0.9689239999999999
1113.0,0.968286
1114.0,0.9678190999999999
1115.0,0.9674857
1116.0,0.9670985000000001
1117.0,0.9667062
1118.0,0.9666903000000001
1119.0,0.9664897
1120.0,0.9665486
1121.0,0.9663433
1122.0,0.9665406
1123.0,0.9665463
1124.0,0.9666747
1125.0,0.9666005
1126.0,0.9667176000000001
1127.0,0.9666919
1128.0,0.9671970000000001
1129.0,0.9671614
1130.0,0.9676196
1131.0,0.9678255
1132.0,0.9678583000000001
1133.0,0.9682234
1134.0,0.9683459000000001
1135.0,0.9684695000000001
1136.0,0.968344
1137.0,0.9685811
1138.0,0.968758
1139.0,0.9689215
1140.0,0.9688213
1141.0,0.9682249
1142.0,0.9679671999999999
1143.0,0.9676446
1144.0,0.9676546
1145.0,0.9671123
1146.0,0.9671776
1147.0,0.9669458
1148.0,0.9664479
1149.0,0.9659292
1150.0,0.9657221
1151.0,0.9653208
1152.0,0.9652527000000001
1153.0,0.9649724999999999
1154.0,0.9646634000000001
1155.0,0.9648260000000001
1156.0,0.9646111999999999
1157.0,0.9644491
1158.0,0.9645366
1159.0,0.9647369
1160.0,0.9648791
1161.0,0.9647684
1162.0,0.964698
1163.0,0.9649126
1164.0,0.9650677000000001
1165.0,0.9652485
1166.0,0.9653122999999999
1167.0,0.9655541
1168.0,0.9656387
1169.0,0.9656402
1170.0,0.9659415
1171.0,0.966234
1172.0,0.9663679999999999
1173.0,0.9662801000000001
1174.0,0.9663949
1175.0,0.9665622
1176.0,0.9664592000000001
1177.0,0.9665301
1178.0,0.9665096
1179.0,0.9663634000000001
1180.0,0.9661468999999999
1181.0,0.9660934
1182.0,0.9657792000000001
1183.0,0.9653323
1184.0,0.9650491
1185.0,0.9652302
1186.0,0.9648964999999999
1187.0,0.9644901
1188.0,0.9642371
1189.0,0.9637787
1190.0,0.9634308
1191.0,0.9634412
1192.0,0.9631963
1193.0,0.9633041
1194.0,0.9632626000000001
1195.0,0.9630428999999999
1196.0,0.9629753
1197.0,0.9630603999999999
1198.0,0.9630747
1199.0,0.9632308
1200.0,0.9635504
1201.0,0.9634368000000001
1202.0,0.9632793
1203.0,0.9633917
1204.0,0.9637688
1205.0,0.9638872
1206.0,0.9640388
1207.0,0.9643411000000001
1208.0,0.9647162
1209.0,0.9647796
1210.0,0.9650054
1211.0,0.9651475
1212.0,0.9651654999999999
1213.0,0.9651578999999999
1214.0,0.9653059
1215.0,0.9654900000000001
1216.0,0.9653973
1217.0,0.9651042
1218.0,0.9649886
1219.0,0.9649599999999999
1220.0,0.9644883
1221.0,0.9642833000000001
1222.0,0.9643181
1223.0,0.9644723999999999
1224.0,0.9642586
1225.0,0.9642821
1226.0,0.9641146
1227.0,0.9637654999999999
1228.0,0.9631826
1229.0,0.9625319
1230.0,0.9622611999999999
1231.0,0.9622481
1232.0,0.9621519000000001
1233.0,0.9618382
1234.0,0.9617243999999999
