λ,T,Reflectance
250,0.0036909698695000003,0.16283894644358501
251,0.0014452736638499999,0.16653160822682334
252,0.006395304949,0.1812743127905536
253,0.007254966499000001,0.18769338890794132
254,0.0083638229965,0.1901848934666455
255,0.00255277074875,0.1997841458428763
256,0.0063147339224999995,0.2073511200497112
257,0.0055127841235,0.211593869392564
258,0.002966184169,0.2083349431243468
259,0.0041885942225,0.20877240189929977
260,0.003124237508,0.20855779624188323
261,0.0067680364845,0.2034958095260407
262,0.0056842088695,0.1941717692314421
263,0.0044685044885,0.18005762420992263
264,0.0021961945296500003,0.17749262769948068
265,0.00548775658,0.15889380189873667
266,0.0027197150885,0.14262120211858087
267,0.0054380981625,0.11760054539315566
268,0.0028624174,0.11087354856707529
269,0.0042039392889999996,0.09310095560041289
270,0.0013264754785,0.08531911847456022
271,0.00084599155915,0.08728943481830691
272,0.0057560992985000005,0.1058472058120759
273,0.008824283629,0.12196412097044369
274,0.004193887096150001,0.13876858821354981
275,0.0094437004605,0.1636776010882892
276,0.004107476622000001,0.17537621728010477
277,0.007028658092,0.2037184545075109
278,0.012403173449,0.23404883789715478
279,0.0019259375333,0.24546706898648427
280,0.015265029370499998,0.28606995264292306
281,0.009960788784500001,0.3188377322719984
282,0.0197383102755,0.34886183936537274
283,0.03050524056,0.3576330599151947
284,0.042725976704999995,0.3764518665460221
285,0.034835273024999995,0.36161667572609923
286,0.037553455235,0.3481872844301998
287,0.049830241204999993,0.33782045808458067
288,0.056477279665,0.32163100526167676
289,0.06325166581,0.3222182745379511
290,0.05054088831,0.3210570487056464
291,0.05678627908,0.34486762840544044
292,0.068807164415,0.3920108489013356
293,0.057560464145000004,0.42125474152801856
294,0.06743206682,0.4618719541407977
295,0.068053164475,0.4859673448170042
296,0.06497317435,0.5223386637045233
297,0.059686353195,0.5612020947218825
298,0.06408232332,0.5990217205346117
299,0.0543811875795,0.6361727190214052
300,0.074160747505,0.6717967223341
301,0.06069865403000001,0.6944430501272018
302,0.05265084981999999,0.7041979039208612
303,0.0611050065155,0.7268388569881762
304,0.068420980555,0.7381279097306626
305,0.061179513055,0.7661610619905221
306,0.07949849487999999,0.7887655697608587
307,0.061550428564,0.804434068662299
308,0.070514836295,0.8210378255491421
309,0.074405970585,0.8141436846182027
310,0.08304681779499999,0.7984549971827184
311,0.08828314421,0.7795923330577099
312,0.12669263122,0.755600041541167
313,0.13972521542500002,0.7205610010334469
314,0.18274511815,0.7147006897275583
315,0.175798864355,0.7030192363666036
316,0.198999609965,0.7058069738469568
317,0.203851096645,0.7073203558037338
318,0.200852396485,0.7131332220941675
319,0.2073266411,0.720948274368385
320,0.19735597253,0.7569121765618942
321,0.16113866448,0.7950937116903833
322,0.13015402914000002,0.8373158311885649
323,0.09893072307499999,0.8697894901766168
324,0.07730610547,0.8964462045168375
325,0.065564913155,0.9219200469612477
326,0.053073647787,0.9286455132099474
327,0.053784492615,0.9407247010206519
328,0.038847611471499996,0.9545580969410671
329,0.0327117367065,0.9535462691368523
330,0.018517962842,0.9742103313796286
331,0.014911184905,0.979992318692359
332,0.01576583743,0.9817890456143337
333,0.004088020772,0.9894554330696169
334,0.005931067765,0.990181124629216
335,0.0037175020203500005,0.9851624733893751
336,0.004796546548499999,0.983815591643361
337,0.006481511592,0.9887730568642499
338,0.0074873240275,0.9883972500692237
339,0.00621751893533,0.9850967405324289
340,0.009230239613199999,0.9902116276512054
341,0.00703078582805,0.9859400281353404
342,0.010561859905,0.9845880188491809
343,0.005196734965,0.9905413959610045
344,0.0059850684555,0.9929372963552154
345,0.006738741844500001,0.9956466724357199
346,0.002525629103,0.9966618845614209
347,0.0040995420515,0.9917967720195829
348,0.00447041139,0.9971596573547771
349,0.004582632929,0.9956690602030249
350,0.0087079700835,0.9911701597217646
351,0.005359126702,0.9921379092009324
352,0.0047182936225,0.9868650158628103
353,0.0053921511014,0.9919648237906972
354,0.0057382930424,0.9857065480846131
355,0.005347172469,0.9879502051764105
356,0.0038854713740000004,0.9872637369025071
357,0.0025880666075000004,0.9924648566661719
358,0.0021377283103,0.9928432506775647
359,0.0018471015059000001,0.9934924617761601
360,0.0040726701914999995,0.9905108882620887
361,0.00051477819685,0.9938786846644416
362,0.0037254901603,0.9938180807036474
363,0.0035350833835,0.9936854992524035
364,0.00346439451,0.9932807825601209
365,0.0024189072892,0.9960663900560814
366,0.0035742995517,0.9900739584571341
367,0.0025703369823999998,0.9908114520572019
368,0.0035180568695,0.9884107789567852
369,0.0034846317765,0.9885525382471332
370,0.0007104791515,0.987194525727194
371,0.00118207423005,0.9862028906107473
372,0.00029479575340000003,0.9849556220941192
373,0.0026266070456500003,0.9816673541695908
374,0.005071002543000001,0.981537871053268
375,0.0011819526181500002,0.9802331096431385
376,0.003845911026,0.9781615996464115
377,0.0010409597309,0.9768492333608285
378,0.0005346541758999999,0.9795313758241201
379,0.0014227686825,0.9804764675816083
380,0.0006107368879,0.9799182121039078
381,0.0021316254140000004,0.9843345785323288
382,0.000637990487505,0.9867159308776532
383,0.002964967862,0.9856974384281866
384,0.0008264128119,0.9890257961167979
385,0.0031157414615,0.9893791478550173
386,0.00140451695785,0.9892656766691011
387,0.002421715185,0.9889823670514614
388,0.0021527740735,0.9884478914129198
389,0.0037903612105,0.9853430843985662
390,0.00446436125805,0.9833106789815702
391,0.005633275916749999,0.9799687254287832
392,0.0070808575498,0.9779090939791364
393,0.0079943471384,0.9742789539722924
394,0.0101875073485,0.9743543088755431
395,0.009452348684500001,0.9748561289441614
396,0.008416673429799999,0.9752650104215074
397,0.008462769689499999,0.9750494043160333
398,0.0085376676935,0.9752879918851138
399,0.0060422864555,0.9741994428819112
400,0.0063485944269999995,0.9748633026168133
401,0.0056118226055,0.9771601010527781
402,0.0062808692455,0.9812963362330671
403,0.00502249226,0.9838315600906502
404,0.0043203049155,0.9862606913483194
405,0.0051566076274999996,0.9868925024278815
406,0.0051815238595,0.9884161696261189
407,0.0060791423925,0.9870892332463191
408,0.00606602353336,0.9867697238170747
409,0.0091178769635,0.9855307905191839
410,0.010101787206299999,0.9829284414132035
411,0.013081667704800001,0.9798884570968
412,0.01836723930995,0.9750032696766903
413,0.027038685606499996,0.966913224669816
414,0.0395260967335,0.9543146565337624
415,0.05797902077900001,0.9339404334571075
416,0.0852835999525,0.9063754172764591
417,0.125952813453,0.8653965994202661
418,0.17780401227800002,0.8136295403111642
419,0.23782628594250002,0.7533599446633132
420,0.301506018034,0.689394168771052
421,0.36086098374,0.6297429901936498
422,0.41094654322499996,0.5799230040199975
423,0.44829519631,0.544404336877959
424,0.47407658099000005,0.518771444209481
425,0.49510771749499993,0.4980439545848963
426,0.52116701605,0.472983765404348
427,0.5577106094,0.4354103460335338
428,0.60983223915,0.38324202114444605
429,0.6767258644,0.3174320105316888
430,0.7455871582,0.24764899552046493
431,0.8094330597000001,0.18332474623935668
432,0.8622988892000001,0.13089452152128847
433,0.9017744827,0.09335608271379274
434,0.9261933517500001,0.06777961695021696
435,0.9415805817,0.05265688002370889
436,0.9510654449500001,0.04322140482355313
437,0.9575090789999998,0.03762360633093073
438,0.961096344,0.03432929705729727
439,0.9619768524,0.033108180996293986
440,0.96126903535,0.03421919302426416
441,0.9588784027,0.03590004597666567
442,0.9561198425,0.038809914862953036
443,0.9535187912,0.04225298824683537
444,0.95230091095,0.043257051220188095
445,0.9528750228999999,0.04261116932620215
446,0.9536531448,0.04147206305215418
447,0.9564834213500001,0.039020394317820034
448,0.95973926545,0.03547047775487763
449,0.96325328825,0.03265431544253145
450,0.96688049315,0.02877621367866091
451,0.9698637008500001,0.026049062209696494
452,0.9713707733499999,0.02395283026178211
453,0.9727737426999999,0.02329080880115825
454,0.9733924103,0.022474876820987272
455,0.97318416595,0.023001019163796935
456,0.97286872865,0.02276759801535265
457,0.9730907822,0.024088023942810833
458,0.9721374511499999,0.023829484874715718
459,0.9724343109,0.023757987281730068
460,0.9720384597999999,0.023734033338585037
461,0.9728448105000002,0.023097781967778182
462,0.97316898345,0.022871926845617906
463,0.97348575595,0.022841880303152484
464,0.9734571457,0.02262684918984878
465,0.9732746505500001,0.02236030726833923
466,0.9729271316500001,0.023585127121182284
467,0.9722578812,0.024341450568719617
468,0.9714883041,0.024979195971902082
469,0.9709071349999999,0.02612845103421809
470,0.97000541685,0.026340578010504788
471,0.9696228790500001,0.02743527039380903
472,0.9689155196999999,0.027521637804468053
473,0.9692980957,0.02741513998591298
474,0.9696403503,0.02664866630105559
475,0.97017803195,0.026382952683219843
476,0.9714323043499999,0.025111316924801994
477,0.9727649689000001,0.0239240448717541
478,0.9740488434,0.022601750032388374
479,0.9750471114999999,0.021617689165604505
480,0.9763584137000001,0.02040632879961013
481,0.97672496795,0.019354452182928073
482,0.9779202270499999,0.019235945899306172
483,0.97796871185,0.019194209278668883
484,0.97735939025,0.01958054464636401
485,0.97675712585,0.020347929620623022
486,0.9756644821,0.021069070171946945
487,0.9745310211500001,0.022180840205836806
488,0.9734642410000001,0.02361319315744402
489,0.9725500106999999,0.024880556852627488
490,0.97140132905,0.02523924696102745
491,0.9711787796,0.02638405592913819
492,0.9709923553500001,0.026697724737968113
493,0.9707036209000001,0.02650395110796297
494,0.97124176025,0.026277545051588178
495,0.971555748,0.02557819404773749
496,0.97252388,0.024791466130617466
497,0.9737825394,0.02391972128855543
498,0.9747557068,0.022414939990437394
499,0.9759693527000001,0.021183264371638755
500,0.9772134399500001,0.02022513342071259
501,0.9780075836000001,0.01937121264189834
502,0.9785837173499999,0.018432781379891405
503,0.9791764068500001,0.018036149175740028
504,0.979102478,0.018203395328999634
505,0.9793688965000001,0.017921488066648675
506,0.9789933014000001,0.018446701597714412
507,0.9783913040000001,0.01901160423571599
508,0.97757148745,0.019658641031553365
509,0.9768988036999999,0.020422432631655586
510,0.9761142731000001,0.021479346795151358
511,0.975479393,0.021777850300359322
512,0.97473117825,0.022232665649892763
513,0.9745277404500001,0.022904299737519746
514,0.9741090393499999,0.02341495966651048
515,0.9743218231,0.023000037432904998
516,0.9746962738,0.022997096989866062
517,0.9750920868,0.022429813249442557
518,0.97589191435,0.021749740008043687
519,0.9766476059,0.021007902674365433
520,0.9773003006000001,0.020438489072062013
521,0.9778783035,0.019645860112745165
522,0.9787046051,0.019093018223622384
523,0.97904190065,0.018251244459462374
524,0.9799455261500001,0.018072195037532
525,0.9798961258,0.017891324753509345
526,0.9798135375999999,0.017945982716062004
527,0.9794206618999999,0.0181232944453609
528,0.97884552,0.01879388866982061
529,0.9782110595500001,0.01956513259436631
530,0.97711494445,0.020430594325800487
531,0.97622638705,0.021614514400053634
532,0.9747814560000001,0.022474771688436822
533,0.9738288498,0.023764124937525808
534,0.97267734525,0.024822469906833167
535,0.971436348,0.0260385739746084
536,0.97072250365,0.026843642010704712
537,0.97008846285,0.027777227809331298
538,0.9696213913,0.02822302910570358
539,0.9691814041000001,0.02871498737853693
540,0.96900493625,0.028833093411666077
541,0.9689206314000001,0.02865650850004563
542,0.9694079971499999,0.028150441783953026
543,0.9698084259,0.027794899251593473
544,0.97025798795,0.027246829958460728
545,0.9709275436499999,0.026809185835090052
546,0.9717646027000001,0.026040902933997353
547,0.9725103378500001,0.025691125493900305
548,0.97296310425,0.02502390334638493
549,0.9734729766999999,0.02431516569343396
550,0.97400173185,0.02370532076400697
551,0.9743559265,0.02354020913682191
552,0.97443908695,0.023315211937811074
553,0.9744901657,0.02331654644419701
554,0.97417331695,0.024109781456175875
555,0.9736388779,0.0242283564972791
556,0.9731597519,0.02482981830597135
557,0.9725884246500001,0.0253449805048751
558,0.9717622375499999,0.026063988074279277
559,0.9709333419499999,0.02682087258554776
560,0.9699331283500001,0.02769537908575373
561,0.9696401596000002,0.02854609484730595
562,0.9686735916000001,0.029312588004706236
563,0.9680901718,0.029659394907605753
564,0.9679063034000001,0.030060242322357822
565,0.9674248886500001,0.030314334220630818
566,0.96719444275,0.03046103425596963
567,0.9672884368999999,0.030376962357012153
568,0.9676038742,0.030348809195654677
569,0.9681011963,0.03003203112634343
570,0.9686424255,0.029175325146215726
571,0.9695441818,0.028572976571882524
572,0.97019493105,0.02759276494021009
573,0.97096160885,0.026991550476828864
574,0.9720059967,0.025498355267394454
575,0.9729275513000001,0.02472625235493899
576,0.9738209534000001,0.023740683318184085
577,0.9750596236999999,0.022763155927360727
578,0.97579677585,0.022126898503144473
579,0.97637355805,0.021105641858051007
580,0.97722373965,0.02091051002573249
581,0.9774857330000001,0.020350927240344353
582,0.97749565125,0.02014962547667287
583,0.9775670623499999,0.020298441128869967
584,0.9774073409999999,0.02033237660052142
585,0.9769247818,0.020783276382098332
586,0.9766303252999999,0.02125137158590789
587,0.9759936904500001,0.021925932227184225
588,0.9751701355,0.022848921734271378
589,0.9740634155500001,0.023361381780175196
590,0.9734566879,0.024416705295946185
591,0.9725307846,0.025467827314844073
592,0.9716464995999999,0.026271952821707068
593,0.9707245635999999,0.027152321230239283
594,0.9700766372999999,0.027755113833877597
595,0.9694641876500001,0.028475768654896174
596,0.96885334015,0.028861446547183808
597,0.9686485672,0.029342762053776224
598,0.9682985687500001,0.02964222749864642
599,0.9683377457,0.029513023914976663
600,0.9684059906,0.029523318451114854
601,0.96892440795,0.029033625653809916
602,0.9695552062999999,0.02850221295585552
603,0.9701537704500001,0.02783456653791464
604,0.97098529815,0.027091117149766336
605,0.9720106124500001,0.02600014090563578
606,0.9730083084000001,0.024820352866105934
607,0.9744258499,0.02364560623882639
608,0.9755909729,0.022483389488562905
609,0.9766480254999999,0.021097704856618625
610,0.9781720352,0.019827275001409427
611,0.9793162155,0.018603214756916574
612,0.9803551102,0.017550712944546343
613,0.9816151809499999,0.016168320641950618
