λ, εFbiG1, εFbiBaG1, εFbiG2, εFbiBaG2, σFbiG1, σFbiBaG1, σFbiG2, σFbiBaG2
325, 13209.5, 12491.2, 25894.3, 30045.9, 66.371, 60.176, 368.564, 141.463
405, 13918.7, 6948.93, 4143.46, 8655.82, 30.3637, 15.5231, 168.345, 78.4744
