λ,ϵIrF,ϵIr,ϵRu,ϵIrF+,ϵIr+,ϵRu++,σIrF,σIr,σRu,σIrF+,σIr+,σRu++
300, 22922, 19828, 32769, 18184, 28252, 30028, 8.76305089e-17, 7.58021870e-17, 1.25275462e-16, 6.95171963e-17, 1.08007030e-16, 1.14796655e-16
405, 1716, 3256, 5251, 1053, 5806, 5326, 6.56024576e-18, 1.24476458e-17, 2.00745049e-17, 4.02560535e-18, 2.21962627e-17, 2.03612290e-17
