,50deg_10s,normal_10s,P,normal_1s
0,193.8,867.9,0.00039778799999999994,4115684.4
1,1745259.6,1182943.5,0.0025668799999999997,41651662.5
2,3776495.7,3687353.7,0.0044394000000000005,106571629.5
3,4081185.9,3892311.3,0.0065052,173445203.4
4,4269615.9,3969364.5,0.007312383333333334,207704004.6
