1.9013e+09,3.0672e+09,7.4003e+09,1.3425e+10,1.9102e+10
1.9012e+09,3.0703e+09,7.4014e+09,1.3447e+10,1.9109e+10
1.9011e+09,3.0687e+09,7.4157e+09,1.3464e+10,1.9134e+10
1.9012e+09,3.0682e+09,7.4019e+09,1.342e+10,1.911e+10
1.9013e+09,3.0707e+09,7.3985e+09,1.3435e+10,1.9071e+10
1.905e+09,3.0668e+09,7.4098e+09,1.3441e+10,1.9059e+10
1.9011e+09,3.0715e+09,7.3875e+09,1.3456e+10,1.9081e+10
1.9013e+09,3.0692e+09,7.4007e+09,1.342e+10,1.9073e+10
1.9012e+09,3.0732e+09,7.4142e+09,1.3442e+10,1.9053e+10
1.9015e+09,3.0686e+09,7.3943e+09,1.3449e+10,1.909e+10
